incorrect_length: SK1_G0000060|SK1_G0000060.mRNA.1, phase_guess: 2
incorrect_length: SK1_G0008090|SK1_G0008090.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0010330|SK1_G0010330.mRNA.1, phase_guess: 1
incorrect_length: SK1_G0013700|SK1_G0013700.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0013710|SK1_G0013710.mRNA.1, phase_guess: 2
incorrect_length: SK1_G0017750|SK1_G0017750.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0032330|SK1_G0032330.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0034180|SK1_G0034180.mRNA.1, phase_guess: 1
incorrect_length: SK1_G0037710|SK1_G0037710.mRNA.1, phase_guess: 2
incorrect_length: SK1_G0043630|SK1_G0043630.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0052440|SK1_G0052440.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0052450|SK1_G0052450.mRNA.1, phase_guess: 2
incorrect_length: SK1_G0057700|SK1_G0057700.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0057730|SK1_G0057730.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0057750|SK1_G0057750.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0057770|SK1_G0057770.mRNA.1, phase_guess: 0
incorrect_length: SK1_G0057810|SK1_G0057810.mRNA.1, phase_guess: 0
